state,record_month,record_year,daily_time,temp_2m_avg,relative_humidity_2m_avg,rain_sum,snowfall_sum
AL,April,2018,2018-04-15 12:00:00,61.12,70.8,6.3900003,0.0
AL,April,2019,2019-04-15 12:00:00,65.560005,69.6,5.162,0.0
AL,April,2020,2020-04-15 12:00:00,64.42,64.3,3.946,0.0
AL,August,2017,2017-08-16 00:00:00,81.65806,69.58064,6.8440003,0.0
AL,August,2018,2018-08-16 00:00:00,80.66774,76.19355,4.231,0.0
AL,August,2019,2019-08-16 00:00:00,82.616135,70.645164,4.323,0.0
AL,August,2020,2020-08-16 00:00:00,81.26129,73.645164,4.1740003,0.0
AL,December,2017,2017-12-16 00:00:00,49.019356,76.354836,3.8609998,2.507
AL,December,2018,2018-12-16 00:00:00,50.97742,81.548386,10.241,0.0
AL,December,2019,2019-12-16 00:00:00,52.72258,77.129036,5.5699997,0.0
AL,December,2020,2020-12-16 00:00:00,47.72903,76.03226,3.089,0.0
AL,February,2017,2017-02-14 12:00:00,57.664284,74.32143,2.764,0.0
AL,February,2018,2018-02-14 12:00:00,60.221428,81.0,4.906,0.0
AL,February,2019,2019-02-14 12:00:00,58.917854,77.03571,4.061,0.0
AL,February,2020,2020-02-15 00:00:00,52.982758,77.24138,8.655,0.0
AL,January,2017,2017-01-16 00:00:00,54.525806,75.70968,9.835,0.055
AL,January,2018,2018-01-16 00:00:00,42.090324,64.80645,3.5170002,1.185
AL,January,2019,2019-01-16 00:00:00,47.629032,74.48387,4.6019998,0.11
AL,January,2020,2020-01-16 00:00:00,52.18387,74.645164,4.689,0.0
AL,July,2017,2017-07-16 00:00:00,82.19678,72.90323,3.926,0.0
AL,July,2018,2018-07-16 00:00:00,83.4871,67.548386,2.9910002,0.0
AL,July,2019,2019-07-16 00:00:00,82.49032,67.51613,2.399,0.0
AL,July,2020,2020-07-16 00:00:00,82.035484,73.741936,3.58,0.0
AL,June,2017,2017-06-15 12:00:00,76.46667,79.7,9.863,0.0
AL,June,2018,2018-06-15 12:00:00,80.6,74.066666,3.555,0.0
AL,June,2019,2019-06-15 12:00:00,79.96,69.3,5.277,0.0
AL,June,2020,2020-06-15 12:00:00,78.776665,70.166664,3.099,0.0
AL,March,2017,2017-03-16 00:00:00,59.77097,68.258064,3.7949998,0.0
AL,March,2018,2018-03-16 00:00:00,57.009678,69.548386,3.13,0.0
AL,March,2019,2019-03-16 00:00:00,56.051613,67.3871,3.293,0.166
AL,March,2020,2020-03-16 00:00:00,65.00968,76.258064,4.2599998,0.0
AL,May,2017,2017-05-16 00:00:00,73.16774,65.129036,6.568,0.0
AL,May,2018,2018-05-16 00:00:00,74.79032,73.58064,6.753,0.0
AL,May,2019,2019-05-16 00:00:00,76.896774,65.19355,2.561,0.0
AL,May,2020,2020-05-16 00:00:00,71.63871,63.548386,4.253,0.0
AL,November,2017,2017-11-15 12:00:00,57.989998,74.1,1.4169999,0.0
AL,November,2018,2018-11-15 12:00:00,53.039997,79.0,6.676,0.0
AL,November,2019,2019-11-15 12:00:00,52.906666,71.933334,3.312,0.028
AL,November,2020,2020-11-15 12:00:00,60.40333,70.4,3.549,0.0
AL,October,2017,2017-10-16 00:00:00,68.19355,69.41936,4.031,0.0
AL,October,2018,2018-10-16 00:00:00,71.399994,65.41936,1.523,0.0
AL,October,2019,2019-10-16 00:00:00,70.76129,71.29032,4.568,0.0
AL,October,2020,2020-10-16 00:00:00,68.729034,74.548386,5.398,0.0
AL,September,2017,2017-09-15 12:00:00,76.11,67.3,2.299,0.0
AL,September,2018,2018-09-15 12:00:00,81.166664,73.96667,2.836,0.0
AL,September,2019,2019-09-15 12:00:00,83.6,56.266666,0.127,0.0
AL,September,2020,2020-09-15 12:00:00,76.20334,70.833336,6.059,0.0
AR,April,2017,2017-04-15 12:00:00,64.689995,72.6,7.572,0.0
AR,April,2018,2018-04-15 12:00:00,55.243336,66.166664,5.152,0.248
AR,April,2019,2019-04-15 12:00:00,61.643333,69.86667,6.0639997,0.0
AR,April,2020,2020-04-15 12:00:00,59.083332,69.2,4.7730002,0.0
AR,August,2017,2017-08-16 00:00:00,76.767746,79.741936,6.7279997,0.0
AR,August,2018,2018-08-16 00:00:00,79.4871,75.09677,4.677,0.0
AR,August,2019,2019-08-16 00:00:00,80.74838,75.90323,5.393,0.0
AR,August,2020,2020-08-16 00:00:00,79.41612,68.870964,4.252,0.0
AR,December,2017,2017-12-16 00:00:00,42.3129,63.258064,5.874,0.0
AR,December,2018,2018-12-16 00:00:00,43.974197,76.935486,7.453,0.854
AR,December,2019,2019-12-16 00:00:00,45.396774,75.19355,1.969,0.138
AR,December,2020,2020-12-16 00:00:00,42.925804,73.16129,4.311,0.495
AR,February,2017,2017-02-14 12:00:00,52.524998,70.03571,3.7810001,0.0
AR,February,2018,2018-02-14 12:00:00,46.267857,77.0,11.314,0.0
AR,February,2019,2019-02-14 12:00:00,46.153572,75.14286,7.9049997,0.0
AR,February,2020,2020-02-15 00:00:00,44.775864,70.44827,4.587,0.165
AR,January,2017,2017-01-16 00:00:00,45.780643,72.548386,2.4290001,0.909
AR,January,2018,2018-01-16 00:00:00,36.580647,59.903225,2.7289999,0.717
AR,January,2019,2019-01-16 00:00:00,40.48387,72.90323,3.48,0.551
AR,January,2020,2020-01-16 00:00:00,43.951614,75.741936,5.9319997,0.056
AR,July,2017,2017-07-16 00:00:00,81.074196,74.451614,2.946,0.0
AR,July,2018,2018-07-16 00:00:00,82.76451,69.645164,2.04,0.0
AR,July,2019,2019-07-16 00:00:00,80.16774,73.354836,3.84,0.0
AR,July,2020,2020-07-16 00:00:00,82.64839,72.354836,2.025,0.0
AR,June,2017,2017-06-15 12:00:00,76.51,72.7,2.684,0.0
AR,June,2018,2018-06-15 12:00:00,81.329994,67.3,1.777,0.0
AR,June,2019,2019-06-15 12:00:00,76.276665,74.433334,6.295,0.0
AR,June,2020,2020-06-15 12:00:00,77.53667,70.0,3.674,0.0
AR,March,2017,2017-03-16 00:00:00,55.529034,66.19355,4.881,0.579
AR,March,2018,2018-03-16 00:00:00,53.658066,66.77419,3.771,0.0
AR,March,2019,2019-03-16 00:00:00,48.980644,64.51613,3.623,0.083
AR,March,2020,2020-03-16 00:00:00,56.219357,76.0,7.7730002,0.0
AR,May,2017,2017-05-16 00:00:00,68.716125,71.03226,6.151,0.0
AR,May,2018,2018-05-16 00:00:00,75.629036,71.51613,2.869,0.0
AR,May,2019,2019-05-16 00:00:00,71.10645,76.19355,7.493,0.0
AR,May,2020,2020-05-16 00:00:00,67.36774,73.3871,5.42,0.0
AR,November,2017,2017-11-15 12:00:00,54.033333,71.933334,1.494,0.0
AR,November,2018,2018-11-15 12:00:00,46.336666,74.433334,5.273,0.85400003
AR,November,2019,2019-11-15 12:00:00,46.893333,71.5,5.324,0.055
AR,November,2020,2020-11-15 12:00:00,54.333332,68.7,1.563,0.0
AR,October,2017,2017-10-16 00:00:00,63.86129,66.96774,4.4309998,0.0
AR,October,2018,2018-10-16 00:00:00,63.1,75.548386,6.5880003,0.0
AR,October,2019,2019-10-16 00:00:00,62.22903,67.83871,4.058,0.0
AR,October,2020,2020-10-16 00:00:00,60.738712,72.09677,5.073,0.0
AR,September,2017,2017-09-15 12:00:00,73.96333,67.96667,0.60300004,0.0
AR,September,2018,2018-09-15 12:00:00,74.8,78.23333,9.438,0.0
AR,September,2019,2019-09-15 12:00:00,80.9,67.13333,1.068,0.0
AR,September,2020,2020-09-15 12:00:00,72.45,73.73333,4.9440002,0.0
AS,April,2017,2017-04-15 12:00:00,82.026665,80.5,8.933,0.0
AS,April,2018,2018-04-15 12:00:00,81.16333,80.96667,18.404,0.0
AS,April,2019,2019-04-15 12:00:00,82.53333,81.066666,9.03,0.0
AS,April,2020,2020-04-15 12:00:00,82.276665,81.8,12.431,0.0
AS,August,2017,2017-08-16 00:00:00,80.19032,77.48387,5.182,0.0
AS,August,2018,2018-08-16 00:00:00,79.767746,76.41936,5.246,0.0
AS,August,2019,2019-08-16 00:00:00,81.04516,78.03226,1.906,0.0
AS,August,2020,2020-08-16 00:00:00,80.464516,80.29032,3.571,0.0
AS,December,2017,2017-12-16 00:00:00,81.24838,81.19355,14.104,0.0
AS,December,2018,2018-12-16 00:00:00,81.52581,82.83871,17.753,0.0
AS,December,2019,2019-12-16 00:00:00,81.548386,81.645164,12.019,0.0
AS,December,2020,2020-12-16 00:00:00,80.74516,80.67742,14.665,0.0
AS,February,2017,2017-02-14 12:00:00,81.97143,81.32143,13.775,0.0
AS,February,2018,2018-02-14 12:00:00,81.14286,82.53571,23.171,0.0
AS,February,2019,2019-02-14 12:00:00,82.69643,81.07143,19.624,0.0
AS,February,2020,2020-02-15 00:00:00,81.33448,82.93104,26.841,0.0
AS,January,2017,2017-01-16 00:00:00,81.964516,82.41936,13.908999,0.0
AS,January,2018,2018-01-16 00:00:00,81.1258,81.064514,12.235001,0.0
AS,January,2019,2019-01-16 00:00:00,82.5,81.0,10.764,0.0
AS,January,2020,2020-01-16 00:00:00,81.4871,83.58064,22.736,0.0
AS,July,2017,2017-07-16 00:00:00,80.58064,78.80645,4.888,0.0
AS,July,2018,2018-07-16 00:00:00,80.05484,78.22581,5.324,0.0
AS,July,2019,2019-07-16 00:00:00,80.409676,82.741936,8.791,0.0
AS,July,2020,2020-07-16 00:00:00,80.522575,81.19355,7.666,0.0
AS,June,2017,2017-06-15 12:00:00,81.32,79.5,3.523,0.0
AS,June,2018,2018-06-15 12:00:00,81.56333,78.23333,2.611,0.0
AS,June,2019,2019-06-15 12:00:00,81.88,78.36667,4.257,0.0
AS,June,2020,2020-06-15 12:00:00,81.04666,80.166664,20.866001,0.0
AS,March,2017,2017-03-16 00:00:00,81.91936,81.70968,11.109,0.0
AS,March,2018,2018-03-16 00:00:00,81.13548,80.645164,7.564,0.0
AS,March,2019,2019-03-16 00:00:00,82.46774,79.129036,7.388,0.0
AS,March,2020,2020-03-16 00:00:00,82.32258,79.83871,4.548,0.0
AS,May,2017,2017-05-16 00:00:00,81.89355,82.064514,13.142,0.0
AS,May,2018,2018-05-16 00:00:00,81.43226,78.258064,5.645,0.0
AS,May,2019,2019-05-16 00:00:00,81.36452,81.064514,11.639,0.0
AS,May,2020,2020-05-16 00:00:00,82.47419,81.09677,5.698,0.0
AS,November,2017,2017-11-15 12:00:00,80.60334,82.03333,14.391001,0.0
AS,November,2018,2018-11-15 12:00:00,81.22,82.066666,12.87,0.0
AS,November,2019,2019-11-15 12:00:00,80.903336,76.23333,4.586,0.0
AS,November,2020,2020-11-15 12:00:00,80.66333,80.3,11.364,0.0
AS,October,2017,2017-10-16 00:00:00,80.19355,81.77419,12.439,0.0
AS,October,2018,2018-10-16 00:00:00,80.45806,80.77419,7.584,0.0
AS,October,2019,2019-10-16 00:00:00,80.522575,79.96774,6.278,0.0
AS,October,2020,2020-10-16 00:00:00,80.451614,82.03226,12.011001,0.0
AS,September,2017,2017-09-15 12:00:00,80.30334,79.86667,5.141,0.0
AS,September,2018,2018-09-15 12:00:00,80.35667,77.6,3.276,0.0
AS,September,2019,2019-09-15 12:00:00,80.10334,79.833336,5.495,0.0
AS,September,2020,2020-09-15 12:00:00,80.19666,81.7,5.068,0.0
AZ,April,2017,2017-04-15 12:00:00,57.34667,29.4,0.084,0.0
AZ,April,2018,2018-04-15 12:00:00,60.266666,22.733334,0.091000006,0.0
AZ,April,2019,2019-04-15 12:00:00,56.04667,40.966667,0.59900004,0.028
AZ,April,2020,2020-04-15 12:00:00,55.58,41.766666,0.39699998,0.0
AZ,August,2017,2017-08-16 00:00:00,72.98387,49.48387,1.792,0.0
AZ,August,2018,2018-08-16 00:00:00,74.07097,55.70968,1.229,0.0
AZ,August,2019,2019-08-16 00:00:00,76.980644,42.548386,0.178,0.0
AZ,August,2020,2020-08-16 00:00:00,81.22258,30.580645,0.517,0.0
AZ,December,2017,2017-12-16 00:00:00,45.545162,28.870968,0.224,0.276
AZ,December,2018,2018-12-16 00:00:00,39.919353,58.322582,1.095,5.925
AZ,December,2019,2019-12-16 00:00:00,39.29355,64.870964,1.906,5.4579997
AZ,December,2020,2020-12-16 00:00:00,40.841934,37.64516,0.41799998,0.056
AZ,February,2017,2017-02-14 12:00:00,44.407143,65.71429,3.0,3.224
AZ,February,2018,2018-02-14 12:00:00,43.146427,50.75,1.539,1.7360001
AZ,February,2019,2019-02-14 12:00:00,35.971428,67.21429,2.803,21.799
AZ,February,2020,2020-02-15 00:00:00,41.91724,52.172413,1.871,1.847
AZ,January,2017,2017-01-16 00:00:00,38.248386,72.09677,2.8,13.365
AZ,January,2018,2018-01-16 00:00:00,44.92258,39.322582,0.879,0.71599996
AZ,January,2019,2019-01-16 00:00:00,38.987095,60.774193,1.4959999,1.296
AZ,January,2020,2020-01-16 00:00:00,40.232258,56.967743,0.425,0.606
AZ,July,2017,2017-07-16 00:00:00,74.27419,56.548386,5.296,0.0
AZ,July,2018,2018-07-16 00:00:00,75.39033,53.80645,3.158,0.0
AZ,July,2019,2019-07-16 00:00:00,78.40323,34.451614,0.46400002,0.0
AZ,July,2020,2020-07-16 00:00:00,79.92903,31.935484,0.678,0.0
AZ,June,2017,2017-06-15 12:00:00,77.53333,21.466667,0.292,0.0
AZ,June,2018,2018-06-15 12:00:00,75.91333,21.9,0.63799995,0.0
AZ,June,2019,2019-06-15 12:00:00,72.98333,25.466667,0.012,0.0
AZ,June,2020,2020-06-15 12:00:00,75.48667,18.033333,0.008,0.0
AZ,March,2017,2017-03-16 00:00:00,52.16129,44.935482,0.661,0.413
AZ,March,2018,2018-03-16 00:00:00,48.319355,41.935482,0.484,0.579
AZ,March,2019,2019-03-16 00:00:00,46.674194,55.83871,1.806,0.799
AZ,March,2020,2020-03-16 00:00:00,46.390324,61.741936,3.189,1.102
AZ,May,2017,2017-05-16 00:00:00,62.75484,33.096775,0.94699997,0.0
AZ,May,2018,2018-05-16 00:00:00,66.15161,23.32258,0.386,0.441
AZ,May,2019,2019-05-16 00:00:00,56.767742,44.35484,1.606,0.028
AZ,May,2020,2020-05-16 00:00:00,69.022575,24.258064,0.012,0.0
AZ,November,2017,2017-11-15 12:00:00,56.27,35.4,0.044,0.0
AZ,November,2018,2018-11-15 12:00:00,46.486668,41.5,0.48,0.579
AZ,November,2019,2019-11-15 12:00:00,49.2,52.9,5.087,5.0719995
AZ,November,2020,2020-11-15 12:00:00,51.239998,41.833332,0.5,0.193
AZ,October,2017,2017-10-16 00:00:00,63.464516,28.548388,0.04,0.0
AZ,October,2018,2018-10-16 00:00:00,54.65161,70.19355,3.652,0.0
AZ,October,2019,2019-10-16 00:00:00,58.003223,30.806452,0.016,0.0
AZ,October,2020,2020-10-16 00:00:00,64.25162,25.580645,0.181,0.0
AZ,September,2017,2017-09-15 12:00:00,68.41,40.666668,1.355,0.0
AZ,September,2018,2018-09-15 12:00:00,72.32,40.866665,0.457,0.0
AZ,September,2019,2019-09-15 12:00:00,69.28,51.366665,2.154,0.0
AZ,September,2020,2020-09-15 12:00:00,73.02333,30.733334,0.508,0.0
CA,April,2017,2017-04-15 12:00:00,59.213333,65.4,2.886,0.0
CA,April,2018,2018-04-15 12:00:00,60.8,60.833332,1.991,0.0
CA,April,2019,2019-04-15 12:00:00,62.89,61.1,1.008,0.0
CA,April,2020,2020-04-15 12:00:00,60.37,66.933334,3.287,0.0
CA,August,2017,2017-08-16 00:00:00,85.4871,36.935482,0.008,0.0
CA,August,2018,2018-08-16 00:00:00,82.783875,34.870968,0.0,0.0
CA,August,2019,2019-08-16 00:00:00,84.74516,32.741936,0.0,0.0
CA,August,2020,2020-08-16 00:00:00,87.50323,28.967741,0.0,0.0
CA,December,2017,2017-12-16 00:00:00,48.27742,62.70968,0.162,0.0
CA,December,2018,2018-12-16 00:00:00,47.948387,75.451614,1.312,0.0
CA,December,2019,2019-12-16 00:00:00,49.696774,72.741936,3.791,0.0
CA,December,2020,2020-12-16 00:00:00,47.99355,66.6129,1.218,0.0
CA,February,2017,2017-02-14 12:00:00,52.25714,74.32143,10.048,0.0
CA,February,2018,2018-02-14 12:00:00,49.960716,59.92857,0.531,0.0
CA,February,2019,2019-02-14 12:00:00,46.157143,72.57143,9.7300005,0.386
CA,February,2020,2020-02-15 00:00:00,51.66897,61.896553,0.296,0.0
CA,January,2017,2017-01-16 00:00:00,46.98387,78.48387,11.799,0.0
CA,January,2018,2018-01-16 00:00:00,51.383873,70.935486,2.06,0.0
CA,January,2019,2019-01-16 00:00:00,49.351612,72.870964,4.06,0.0
CA,January,2020,2020-01-16 00:00:00,47.664516,76.32258,0.619,0.0
CA,July,2017,2017-07-16 00:00:00,86.422585,31.580645,0.0,0.0
CA,July,2018,2018-07-16 00:00:00,88.50323,29.516129,0.004,0.0
CA,July,2019,2019-07-16 00:00:00,84.30645,32.032257,0.0,0.0
CA,July,2020,2020-07-16 00:00:00,85.13871,28.258064,0.0,0.0
CA,June,2017,2017-06-15 12:00:00,79.97,39.966667,0.0,0.0
CA,June,2018,2018-06-15 12:00:00,78.916664,33.5,0.0,0.0
CA,June,2019,2019-06-15 12:00:00,78.17333,43.533333,0.0,0.0
CA,June,2020,2020-06-15 12:00:00,78.270004,37.066666,0.0,0.0
CA,March,2017,2017-03-16 00:00:00,55.393547,71.22581,3.665,0.0
CA,March,2018,2018-03-16 00:00:00,53.43226,69.354836,11.09,0.0
CA,March,2019,2019-03-16 00:00:00,53.390324,70.548386,5.369,0.0
CA,March,2020,2020-03-16 00:00:00,53.199997,67.48387,4.465,0.0
CA,May,2017,2017-05-16 00:00:00,69.287094,50.387096,0.154,0.0
CA,May,2018,2018-05-16 00:00:00,68.91936,50.258064,0.067,0.0
CA,May,2019,2019-05-16 00:00:00,63.532257,61.870968,5.796,0.0
CA,May,2020,2020-05-16 00:00:00,70.29355,49.741936,1.1389999,0.0
CA,November,2017,2017-11-15 12:00:00,57.91,63.633335,1.9100001,0.0
CA,November,2018,2018-11-15 12:00:00,56.413334,56.6,3.866,0.0
CA,November,2019,2019-11-15 12:00:00,56.306664,53.033333,1.933,0.0
CA,November,2020,2020-11-15 12:00:00,53.960003,58.966667,1.02,0.0
CA,October,2017,2017-10-16 00:00:00,65.17097,47.032257,0.087,0.0
CA,October,2018,2018-10-16 00:00:00,66.80968,45.064518,0.20099999,0.0
CA,October,2019,2019-10-16 00:00:00,63.70968,41.548386,0.0,0.0
CA,October,2020,2020-10-16 00:00:00,71.49355,36.129032,0.0,0.0
CA,September,2017,2017-09-15 12:00:00,76.403336,45.133335,0.493,0.0
CA,September,2018,2018-09-15 12:00:00,77.456665,34.066666,0.0,0.0
CA,September,2019,2019-09-15 12:00:00,76.46333,38.033333,0.071,0.0
CA,September,2020,2020-09-15 12:00:00,81.56333,32.233334,0.0,0.0
CO,April,2017,2017-04-15 12:00:00,24.41,60.766666,0.15,14.221
CO,April,2018,2018-04-15 12:00:00,25.753332,59.666668,0.048,23.204
CO,April,2019,2019-04-15 12:00:00,25.983334,68.53333,0.008,18.685
CO,April,2020,2020-04-15 12:00:00,23.863335,61.3,0.008,12.845
CO,August,2017,2017-08-16 00:00:00,46.419353,62.258064,2.9,1.323
CO,August,2018,2018-08-16 00:00:00,48.296772,59.258064,2.344,0.221
CO,August,2019,2019-08-16 00:00:00,50.087093,54.64516,2.206,0.0
CO,August,2020,2020-08-16 00:00:00,51.529034,48.80645,2.021,0.276
CO,December,2017,2017-12-16 00:00:00,14.138709,62.032257,0.004,11.657
CO,December,2018,2018-12-16 00:00:00,9.945161,69.935486,0.020000001,6.808
CO,December,2019,2019-12-16 00:00:00,11.467742,67.09677,0.016,12.7039995
CO,December,2020,2020-12-16 00:00:00,10.903226,63.419353,0.012000001,9.288
CO,February,2017,2017-02-14 12:00:00,17.785715,67.78571,0.020000001,13.945
CO,February,2018,2018-02-14 12:00:00,12.632143,67.67857,0.032,16.288
CO,February,2019,2019-02-14 12:00:00,9.825,66.75,0.008,15.875
CO,February,2020,2020-02-15 00:00:00,10.272413,67.62069,0.020000001,22.266
CO,January,2017,2017-01-16 00:00:00,10.941936,71.935486,0.028,25.218
CO,January,2018,2018-01-16 00:00:00,14.6,61.096775,0.004,10.17
CO,January,2019,2019-01-16 00:00:00,11.370968,68.548386,0.024,12.816
CO,January,2020,2020-01-16 00:00:00,11.006452,72.70968,0.012,9.894
CO,July,2017,2017-07-16 00:00:00,49.096775,64.80645,5.27,0.193
CO,July,2018,2018-07-16 00:00:00,51.08387,58.35484,2.674,0.028
CO,July,2019,2019-07-16 00:00:00,48.587093,59.19355,1.599,0.0
CO,July,2020,2020-07-16 00:00:00,49.79355,57.322582,3.678,0.083
CO,June,2017,2017-06-15 12:00:00,43.936665,50.333332,0.489,0.0
CO,June,2018,2018-06-15 12:00:00,46.466667,45.166668,0.653,1.24
CO,June,2019,2019-06-15 12:00:00,40.539997,59.933334,1.182,6.8079996
CO,June,2020,2020-06-15 12:00:00,42.563335,55.2,1.179,10.225
CO,March,2017,2017-03-16 00:00:00,23.567741,60.322582,0.198,10.418
CO,March,2018,2018-03-16 00:00:00,17.745161,61.032257,0.016,11.245
CO,March,2019,2019-03-16 00:00:00,17.532259,68.3871,0.012,27.78
CO,March,2020,2020-03-16 00:00:00,19.474194,66.96774,0.016,14.7439995
CO,May,2017,2017-05-16 00:00:00,32.12258,62.0,0.97099996,15.901999
CO,May,2018,2018-05-16 00:00:00,37.33226,55.35484,0.41,13.422
CO,May,2019,2019-05-16 00:00:00,28.390322,67.451614,0.088,26.841
CO,May,2020,2020-05-16 00:00:00,35.796772,58.0,0.223,8.212
CO,November,2017,2017-11-15 12:00:00,23.346668,61.566666,0.008,9.317
CO,November,2018,2018-11-15 12:00:00,13.796666,69.26667,0.032,15.708
CO,November,2019,2019-11-15 12:00:00,18.9,63.633335,0.004,9.921
CO,November,2020,2020-11-15 12:00:00,19.126667,60.733334,0.012,12.044
CO,October,2017,2017-10-16 00:00:00,28.019354,60.322582,0.028000003,12.594
CO,October,2018,2018-10-16 00:00:00,26.545162,75.354836,0.339,15.736
CO,October,2019,2019-10-16 00:00:00,23.041935,54.35484,0.020000001,15.294
CO,October,2020,2020-10-16 00:00:00,32.558064,47.612904,0.012000001,7.2479997
CO,September,2017,2017-09-15 12:00:00,40.863335,64.166664,1.347,11.023
CO,September,2018,2018-09-15 12:00:00,44.146667,49.266666,1.173,1.102
CO,September,2019,2019-09-15 12:00:00,44.533333,54.933334,1.241,0.19399999
CO,September,2020,2020-09-15 12:00:00,41.27333,51.3,0.171,6.588
CT,April,2017,2017-04-15 12:00:00,50.543335,72.833336,3.0449998,0.606
CT,April,2018,2018-04-15 12:00:00,42.066666,68.3,3.68,4.7130003
CT,April,2019,2019-04-15 12:00:00,48.239998,72.13333,7.023,0.331
CT,April,2020,2020-04-15 12:00:00,43.396667,68.36667,5.38,3.032
CT,August,2017,2017-08-16 00:00:00,68.93871,74.70968,2.962,0.0
CT,August,2018,2018-08-16 00:00:00,72.46774,84.354836,7.876,0.0
CT,August,2019,2019-08-16 00:00:00,70.212906,75.548386,3.428,0.0
CT,August,2020,2020-08-16 00:00:00,72.68387,71.22581,2.315,0.0
CT,December,2017,2017-12-16 00:00:00,27.71613,68.0,1.445,6.258
CT,December,2018,2018-12-16 00:00:00,33.309677,73.22581,5.834,1.656
CT,December,2019,2019-12-16 00:00:00,31.525806,76.80645,4.68,11.133
CT,December,2020,2020-12-16 00:00:00,32.951614,73.90323,3.9880002,14.193
CT,February,2017,2017-02-14 12:00:00,33.3,71.0,0.799,12.2369995
CT,February,2018,2018-02-14 12:00:00,35.085716,74.5,4.72,7.304
CT,February,2019,2019-02-14 12:00:00,28.75357,66.57143,2.157,7.935
CT,February,2020,2020-02-15 00:00:00,32.972416,69.27586,3.141,2.122
CT,January,2017,2017-01-16 00:00:00,31.564516,72.32258,2.615,5.486
